key,value,definition
navigationaid,vasi,Ajuda a la navegació	=	Vasi
townhall:type,city,ajuntament:tipus	=	ciutat
maxheight,*,Alçada màxima	=	*
maxheight,default,Alçada màxima	=	per defecte
*-tip/pista,guagua,ALERTA:Si vols buscar guagua usa bus
highspeed,no,alta velocitat	=	no
mooring,ring,amarrador	=	anell
mooring,commercial,amarrador	=	comercial
mooring,cruise,amarrador	=	creuer
mooring,declaration,amarrador	=	declaració
mooring,guest,amarrador	=	hoste
mooring,monobuoy,amarrador	=	monoboia
mooring,private,amarrador	=	privat
mooring,sbm,amarrador	=	sbm
mooring,spm,amarrador	=	spm
mooring,ferry,amarrador	=	transportar
mooring,visitor,amarrador	=	visitant
embassy,high_commission,ambaixada	=	alta Comissió
embassy,delegation,ambaixada	=	delegació
embassy,mission,ambaixada	=	missió
embassy,nunciature,ambaixada	=	nunciatura
embassy,residence,ambaixada	=	residència
embassy,interests_section,ambaixada	=	secció d'interessos
embassy,branch_embassy,ambaixada	=	sucursal de l'ambaixada
amenity,administration,amenitat/servei	=	administració
amenity,mobile_money_agent,amenitat/servei	=	agent_diners_movil
amenity,water,amenitat/servei	=	aigua
amenity,drinking_water,amenitat/servei	=	aigua potable
amenity,compressed_air,amenitat/servei	=	aire comprimit
amenity,townhall,amenitat/servei	=	Ajuntament
amenity,student_accommodation,amenitat/servei	=	allotjament per a estudiants
amenity,animal_boarding,amenitat/servei	=	allotjament_d'animals
amenity,alm,amenitat/servei	=	almoina
amenity,embassy,amenitat/servei	=	ambaixada
amenity,life_ring,amenitat/servei	=	anell de vida
amenity,tourist_bus_parking,amenitat/servei	=	aparcament d'autobusos turístics
amenity,po_box,amenitat/servei	=	apartat de correus
amenity,smoking_area,amenitat/servei	=	Àrea de fumadors
amenity,locker,amenitat/servei	=	armari
amenity,archive,amenitat/servei	=	arxiu
amenity,nursing_home,amenitat/servei	=	asil_de_ancians
amenity,vacuum_cleaner,amenitat/servei	=	aspiradora
amenity,dryer,amenitat/servei	=	assecadora
amenity,clothes_dryer,amenitat/servei	=	assecadora de roba
amenity,financial_advice,amenitat/servei	=	assessoria financera
amenity,audiologist,amenitat/servei	=	audiòleg
amenity,car_sharing,amenitat/servei	=	auto compartit
amenity,driving_school,amenitat/servei	=	autoescola
amenity,fish_spa,amenitat/servei	=	balneari de peix
amenity,blood_bank,amenitat/servei	=	Banc de Sang
amenity,bird_bath,amenitat/servei	=	bany d'ocells
amenity,public_bath,amenitat/servei	=	Bany públic
amenity,toilets,amenitat/servei	=	banys
amenity,bar,amenitat/servei	=	bar
amenity,juice_bar,amenitat/servei	=	Bar de sucs
amenity,bbq,amenitat/servei	=	barbacoa
amenity,body_scale,amenitat/servei	=	bàscula corporal
amenity,weighbridge,amenitat/servei	=	bàscula de pont
amenity,library,amenitat/servei	=	biblioteca
amenity,bicycle_library,amenitat/servei	=	biblioteca de bicicletes
amenity,mobile_library,amenitat/servei	=	biblioteca mòbil
amenity,biergarten,amenitat/servei	=	biergarten
amenity,hydrant,amenitat/servei	=	boca d'aigües
amenity,fire_hydrant,amenitat/servei	=	boca d'incendi
amenity,brothel,amenitat/servei	=	bordell
amenity,shop,amenitat/servei	=	botiga
amenity,bts,amenitat/servei	=	BTS
amenity,letter_box,amenitat/servei	=	bústia
amenity,post_box,amenitat/servei	=	bústia
amenity,parcel_postbox,amenitat/servei	=	bústia de paquets
amenity,photo_booth,amenitat/servei	=	cabina de fotos
amenity,security_booth,amenitat/servei	=	cabina de seguretat
amenity,chair,amenitat/servei	=	cadira
amenity,internet_cafe,amenitat/servei	=	Cafè internet
amenity,bear_box,amenitat/servei	=	caixa d'ós
amenity,relay_box,amenitat/servei	=	caixa de relés
amenity,rescue_box,amenitat/servei	=	caixa de rescat
amenity,atm,amenitat/servei	=	Caixer automàtic
amenity,karaoke_box,amenitat/servei	=	caja_karaoke
amenity,outfitter,amenitat/servei	=	camiser
amenity,prison_camp,amenitat/servei	=	camp de presoners
amenity,canteen,amenitat/servei	=	cantina
amenity,bureau_de_change,amenitat/servei	=	canvi de moneda
amenity,training,amenitat/servei	=	capacitació
amenity,ev_charging,amenitat/servei	=	càrrega ev
amenity,trolley_bay,amenitat/servei	=	carrito_bay
amenity,clubhouse,amenitat/servei	=	casa club
amenity,retirement_home,amenitat/servei	=	casa de retir
amenity,luggage_locker,amenitat/servei	=	caseller d'equipatge
amenity,parcel_lockers,amenitat/servei	=	casellers per a paquets
amenity,casino,amenitat/servei	=	casino
amenity,grave_yard,amenitat/servei	=	cementiri
amenity,community_centre,amenitat/servei	=	centre Comunitari
amenity,culture_center,amenitat/servei	=	Centre cultural
amenity,events_centre,amenitat/servei	=	centre d'esdeveniments
amenity,exhibition_centre,amenitat/servei	=	centre d'exposicions
amenity,conference_centre,amenitat/servei	=	centre de conferències
amenity,convention_centre,amenitat/servei	=	Centre de convenció
amenity,meditation_centre,amenitat/servei	=	centre de meditació
amenity,jobcentre,amenitat/servei	=	centre de treball
amenity,polling_station,amenitat/servei	=	centre electoral
amenity,youth_centre,amenitat/servei	=	Centre juvenil
amenity,dive_centre,amenitat/servei	=	centre_de_busseig
amenity,arts_centre,amenitat/servei	=	centre_de_les_arts
amenity,payment_centre,amenitat/servei	=	centre_de_pagament
amenity,social_centre,amenitat/servei	=	centre_social
amenity,cinema,amenitat/servei	=	cinema
amenity,clinic,amenitat/servei	=	clínica
amenity,club,amenitat/servei	=	club
amenity,yacht_club,amenitat/servei	=	Club de iot
amenity,stripclub,amenitat/servei	=	club de striptease
amenity,nightclub,amenitat/servei	=	Club nocturn discoteca
amenity,social_club,amenitat/servei	=	Club Social
amenity,swingerclub,amenitat/servei	=	club swinger
amenity,bikeshed,amenitat/servei	=	cobert per a bicicletes
amenity,college,amenitat/servei	=	col·lega
amenity,fuel,amenitat/servei	=	combustible
amenity,food_sharing,amenitat/servei	=	compartir menjar
amenity,bicycle_trailer_sharing,amenitat/servei	=	compartir remolc de bicicleta
amenity,freeshop,amenitat/servei	=	compra gratis
amenity,consulate,amenitat/servei	=	consolat
amenity,checkpoint,amenitat/servei	=	control
amenity,car_pooling,amenitat/servei	=	cotxe_compartit
amenity,stroller_parking,amenitat/servei	=	cotxet d'estacionament
amenity,crematorium,amenitat/servei	=	crematori
amenity,crematory,amenitat/servei	=	crematori
amenity,animal_breeding,amenitat/servei	=	cria_d'animals
amenity,crypt,amenitat/servei	=	cripta
amenity,crucifix,amenitat/servei	=	crucifix
amenity,dog_waste_bin,amenitat/servei	=	cub d'escombraries per a gossos
amenity,kitchen,amenitat/servei	=	cuina
amenity,childcare,amenitat/servei	=	cura de nens
amenity,dentist,amenitat/servei	=	dentista
amenity,waste_disposal,amenitat/servei	=	dipòsit d'escombraries
amenity,milk_dispenser,amenitat/servei	=	dispensador de llet
amenity,dojo,amenitat/servei	=	dojo
amenity,donation,amenitat/servei	=	donació
amenity,give_box,amenitat/servei	=	donar caixa
amenity,dormitory,amenitat/servei	=	dormitori
amenity,customs,amenitat/servei	=	duanes
amenity,shower,amenitat/servei	=	dutxa
amenity,foot_shower,amenitat/servei	=	dutxa de peus
amenity,public_building,amenitat/servei	=	edifici públic
amenity,education,amenitat/servei	=	educació
amenity,animal_effluent_disposal,amenitat/servei	=	eliminació d'efluents animals
amenity,rv_storage,amenitat/servei	=	emmagatzematge de vehicles recreatius
amenity,disused,amenitat/servei	=	en desús
amenity,animal_hitch,amenitat/servei	=	enganxi d'animals
amenity,library_dropoff,amenitat/servei	=	entrega de la biblioteca
amenity,animal_training,amenitat/servei	=	entrenament d'animals
amenity,driver_training,amenitat/servei	=	entrenament_del_conductor
amenity,kindergarten,amenitat/servei	=	escola bressol
amenity,sport_school,amenitat/servei	=	escola d'esports
amenity,ski_school,amenitat/servei	=	escola d'Esqui
amenity,language_school,amenitat/servei	=	escola d'idiomes
amenity,dancing_school,amenitat/servei	=	escola de ball
amenity,trade_school,amenitat/servei	=	escola de comerç
amenity,music_school,amenitat/servei	=	escola de Musica
amenity,swimming_school,amenitat/servei	=	escola de natació
amenity,surf_school,amenitat/servei	=	escola de surf
amenity,sailing_school,amenitat/servei	=	escola de vela
amenity,flight_school,amenitat/servei	=	escola de vol
amenity,mtb_school,amenitat/servei	=	escola mtb
amenity,baby_hatch,amenitat/servei	=	escotilla de beu
amenity,events_venue,amenitat/servei	=	esdeveniments_lloc
amenity,coworking_space,amenitat/servei	=	espai de treball conjunt
amenity,stables,amenitat/servei	=	estables
amenity,ambulance_station,amenitat/servei	=	estació d'ambulància
amenity,bus_station,amenitat/servei	=	estació d'autobusos
amenity,fire_station,amenitat/servei	=	estació de bombers
amenity,charging_station,amenitat/servei	=	Estació de càrrega
amenity,device_charging_station,amenitat/servei	=	estació de càrrega de dispositius
amenity,charging_station/Tesla_Motors,amenitat/servei	=	estació de càrrega/Tesla Motors
amenity,fitness_station,amenitat/servei	=	estació de fitness
amenity,ranger_station,amenitat/servei	=	estació de guardaboscos
amenity,lifeboat_station,amenitat/servei	=	estació de pots salvavides
amenity,coast_radar_station,amenitat/servei	=	estació de radar costanera
amenity,snow_removal_station,amenitat/servei	=	estació de remoció de neu
amenity,rescue_station,amenitat/servei	=	estació de rescat
amenity,sanitary_dump_station,amenitat/servei	=	estació_de_descàrrega_sanitària
amenity,bicycle_repair_station,amenitat/servei	=	estació_de_reparació_de_bicicletes
amenity,waste_transfer_station,amenitat/servei	=	estació_de_transferència_de_residus
amenity,bike_parking,amenitat/servei	=	estacionament de bicicletes
amenity,buggy_parking,amenitat/servei	=	estacionament de buggy
amenity,horse_parking,amenitat/servei	=	estacionament de cavalls
amenity,dog_parking,amenitat/servei	=	estacionament per a gossos
amenity,parking_entrance,amenitat/servei	=	estacionament_entrada
amenity,studio,amenitat/servei	=	estudi
amenity,rehearsal_studio,amenitat/servei	=	estudi d'assaig
amenity,stage,amenitat/servei	=	etapa
amenity,stool,amenitat/servei	=	excrements
amenity,street_lamp,amenitat/servei	=	fanal
amenity,lounger,amenitat/servei	=	faragan
amenity,veterinary_pharmacy,amenitat/servei	=	farmàcia veterinària
amenity,fountain,amenitat/servei	=	font
amenity,baking_oven,amenitat/servei	=	forn de cocció
amenity,garages,amenitat/servei	=	garatges
amenity,ice_cream,amenitat/servei	=	gelat
amenity,gym_(Don't_use),amenitat/servei	=	gimnàs (no fer servir)
amenity,gym,amenitat/servei	=	gimnàstica
amenity,grit_bin,amenitat/servei	=	grit_bin
amenity,cloakroom,amenitat/servei	=	guarda-roba
amenity,coast_guard,amenitat/servei	=	guardacostes
amenity,nursery,amenitat/servei	=	guarderia
amenity,refugee_housing,amenitat/servei	=	habitatge per a refugiats
amenity,hospice,amenitat/servei	=	hospici
amenity,printer,amenitat/servei	=	impressora
amenity,vehicle_inspection,amenitat/servei	=	Inspeccio de vehicle
amenity,social_facility,amenitat/servei	=	instal·lacions_socials
amenity,research_institute,amenitat/servei	=	Institut de Recerca
amenity,gambling,amenitat/servei	=	joc
amenity,game_feeding,amenitat/servei	=	joc_alimentacio
amenity,kneipp_water_cure,amenitat/servei	=	kneipp_water_cure
amenity,Kneippbecken,amenitat/servei	=	Kneippbecken
amenity,fab_lab,amenitat/servei	=	laboratori fabulós
amenity,winery,amenitat/servei	=	lagar
amenity,place_of_worship,amenitat/servei	=	lloc d'adoració
amenity,place_of_mourning,amenitat/servei	=	lloc de dol
amenity,concession_stand,amenitat/servei	=	lloc de menjar
amenity,music_venue,amenitat/servei	=	lloc de música
amenity,watering_place,amenitat/servei	=	Lloc de reg
amenity,feeding_place,amenitat/servei	=	lloc_d'alimentació
amenity,waste_dump_site,amenitat/servei	=	lloc_de_abocador_de_residus
amenity,hunting_stand,amenitat/servei	=	lloc_de_caça
amenity,refugee_site,amenitat/servei	=	lloc_de_refugiats
amenity,health_post,amenitat/servei	=	lloc_de_salut
amenity,ski_rental,amenitat/servei	=	lloguer d'esquí
amenity,bicycle_rental,amenitat/servei	=	lloguer de bicicletes
amenity,canoe_hire,amenitat/servei	=	lloguer de canoes
amenity,car_rental,amenitat/servei	=	lloguer de cotxes
amenity,motorcycle_rental,amenitat/servei	=	lloguer de motos
amenity,kick-scooter_rental,amenitat/servei	=	lloguer de patinets
amenity,scooter_rental,amenitat/servei	=	lloguer de scooters
amenity,boat_rental,amenitat/servei	=	lloguer_de_vaixells
amenity,street_light,amenitat/servei	=	llum del carrer
amenity,toy_library,amenitat/servei	=	ludoteca
amenity,vending_machine,amenitat/servei	=	màquina expenedora
amenity,marae,amenitat/servei	=	marae
amenity,tuition,amenitat/servei	=	matrícula
amenity,fast_food,amenitat/servei	=	menjar ràpid
amenity,marketplace,amenitat/servei	=	mercat
amenity,doctor,amenitat/servei	=	metge
amenity,doctors,amenitat/servei	=	metges
amenity,microwave,amenitat/servei	=	microona
amenity,courier,amenitat/servei	=	missatger
amenity,loading_dock,amenitat/servei	=	moll_de_càrrega
amenity,monastery,amenitat/servei	=	monestir
amenity,mortuary,amenitat/servei	=	mortuori
amenity,motorcycle_parking,amenitat/servei	=	moto_estacionament
amenity,motorcycle_taxi,amenitat/servei	=	mototaxi
amenity,fridge,amenitat/servei	=	nevera
amenity,artwork,amenitat/servei	=	obra d'art
amenity,office,amenitat/servei	=	oficina
amenity,lost_property_office,amenitat/servei	=	oficina d'objectes perduts
amenity,post_office,amenitat/servei	=	oficina de correus
amenity,register_office,amenitat/servei	=	oficina de Registre
amenity,air_filling,amenitat/servei	=	omplert d'aire
amenity,osmica,amenitat/servei	=	osmica
amenity,hitching_post,amenitat/servei	=	pal d'enganxament
amenity,courthouse,amenitat/servei	=	palau de justícia
amenity,waste_basket,amenitat/servei	=	paperera
amenity,dog_bin,amenitat/servei	=	paperera per a gossos
amenity,parcel_locker,amenitat/servei	=	paquet_caseller
amenity,bus_stop,amenitat/servei	=	parada d'autobús
amenity,park,amenitat/servei	=	parc
amenity,parkink,amenitat/servei	=	parc
amenity,trailer_park,amenitat/servei	=	parc de remolcs
amenity,traffic_park,amenitat/servei	=	parc de trànsit
amenity,bicycle_parking,amenitat/servei	=	Pàrquing de bicicletes
amenity,building_yard,amenitat/servei	=	pati de construcció
amenity,piano,amenitat/servei	=	piano
amenity,parking_space,amenitat/servei	=	plaça d'aparcament
amenity,planetarium,amenitat/servei	=	planetari
amenity,police,amenitat/servei	=	policia
amenity,post_depot,amenitat/servei	=	post_depot
amenity,preschool,amenitat/servei	=	preescolar
amenity,prep_school,amenitat/servei	=	preparatòria
amenity,prison,amenitat/servei	=	presó
amenity,first_aid,amenitat/servei	=	primers auxilis
amenity,firstaid,amenitat/servei	=	primers auxilis
amenity,binoculars,amenitat/servei	=	prismàtics
amenity,proposed,amenitat/servei	=	proposat
amenity,pub,amenitat/servei	=	pub
amenity,public_bookcase,amenitat/servei	=	public_bookcase
amenity,citymap_post,amenitat/servei	=	publicació del mapa de la ciutat
amenity,advertising,amenitat/servei	=	publicitat
amenity,exercise_point,amenitat/servei	=	punt d'exercici
amenity,taxi_point,amenitat/servei	=	punt de taxi
amenity,water_point,amenitat/servei	=	punt_d'aigua
amenity,kiosk,amenitat/servei	=	quiosc
amenity,vehicle_ramp,amenitat/servei	=	rampa per a vehicles
amenity,reception_desk,amenitat/servei	=	recepció
amenity,recycling,amenitat/servei	=	reciclatge
amenity,recycling/Quality_Assurance,amenitat/servei	=	reciclatge/Garantia de qualitat
amenity,mist_spraying_cooler,amenitat/servei	=	refredador de polvorització de boira
amenity,shelter,amenitat/servei	=	refugi
amenity,animal_shelter,amenitat/servei	=	refugi d'animals
amenity,clock,amenitat/servei	=	rellotge
amenity,whirlpool,amenitat/servei	=	remolí
amenity,washing_machine,amenitat/servei	=	rentadora
amenity,lavoir,amenitat/servei	=	rentar
amenity,carpet_washing,amenitat/servei	=	rentat de catifes
amenity,car_wash,amenitat/servei	=	rentat de cotxes
amenity,carwash,amenitat/servei	=	rentat de cotxes
amenity,car_repair,amenitat/servei	=	reparació de cotxes
amenity,swimming_pool,amenitat/servei	=	safareig
amenity,concert_hall,amenitat/servei	=	sala de concerts
amenity,mailroom,amenitat/servei	=	sala de correu
amenity,hookah_lounge,amenitat/servei	=	saló_de_la_cachimba
amenity,funeral_hall,amenitat/servei	=	saló_funerari
amenity,sanatorium,amenitat/servei	=	sanatori
amenity,sauna,amenitat/servei	=	sauna
amenity,seat,amenitat/servei	=	seient
amenity,emergency_service,amenitat/servei	=	servei d'emergència
amenity,spa,amenitat/servei	=	spa
amenity,workshop,amenitat/servei	=	taller
amenity,sceptic_tank,amenitat/servei	=	tanc escèptic
amenity,septic_tank,amenitat/servei	=	tanc sèptic
amenity,ticket_booth,amenitat/servei	=	taquilla
amenity,table,amenitat/servei	=	taula
amenity,dead_pub,amenitat/servei	=	taverna morta
amenity,taxi,amenitat/servei	=	taxi
amenity,theatre,amenitat/servei	=	teatre
amenity,telephone,amenitat/servei	=	telèfon
amenity,emergency_phone,amenitat/servei	=	Telèfon d'emergència
amenity,television,amenitat/servei	=	televisió
amenity,ferry_terminal,amenitat/servei	=	terminal del ferri
amenity,payment_terminal,amenitat/servei	=	terminal_de_pagament
amenity,festival_grounds,amenitat/servei	=	terrenys del festival
amenity,avalanche_transceiver,amenitat/servei	=	transceptor d'allau
amenity,money_transfer,amenitat/servei	=	transferència de diners
amenity,university,amenitat/servei	=	Universitat
amenity,boat_sharing,amenitat/servei	=	vaixell compartit
amenity,boat_storage,amenitat/servei	=	vaixell_emmagatzematge
amenity,ticket_validator,amenitat/servei	=	validador_de_tickets
amenity,toilet,amenitat/servei	=	vàter
amenity,dog_toilet,amenitat/servei	=	vàter per a gossos
amenity,dressing_room,amenitat/servei	=	Vestidor
amenity,changing_room,amenitat/servei	=	vestuari
amenity,veterinary,amenitat/servei	=	veterinari
amenity,vivarium,amenitat/servei	=	viver
amenity,driver_training_area,amenitat/servei	=	zona de formació de conductors
amenity,food_court,amenitat/servei	=	zona de menjars
amenity,bench,amenitat/servei = banc per seure’s
amenity,love_hotel,"amenitat/servei = Casa de cites , habitacions per hores"
aminety,sceptic_tank,amina	=	tanc escèptic
maxwidth,*,amplada màxima	=	*
width,*,ample	=	*
est_width,3.0m〜5.5m,ample_est	=	*
oneway:bus,no,anada: autobús	=	no
oneway:bicycle,no,anada: bicicleta	=	no
oneway:motorcycle,no,anada: motocicleta	=	no
animal,school,animal	=	escola
animal,horse_walker,animal	=	passejador de cavalls
animated,winding_posters,animat	=	debanat pòsters
animated,trivision_blades,animat	=	fulles de trivisió
animated,no,animat	=	no
old_railway_operator,Southern,antic operador ferroviari	=	Del Sud
old_railway_operator,UP,antic operador ferroviari	=	FINS
