key,value,definition
road_marking,no,=
road_marking,yes,=
generator:output:electricity,yes,generador:sortida:electricitat	=	sí
dog,no,gos	=	no
dog,yes,gos	=	sí
ford,yes,gual	=	sí
fallow,yes,guaret	=
room,yes,habitació	=	si
heritage,yes,herència	=	sí
hgv:state_network,yes,hgv: xarxa_estat	=	sí
hgv:national_network,yes,hgv:xarxa_nacional	=	sí
fire_hydrant:pressure,yes,hidrant_d'incendi:pressió	=	sí
historic,no,històric	=	no
historic,yes,històric	=	sí
opening_hours:signed,no,horari_d'obertura:signat	=	no
collection_times:signed,no,horaris de recollida:signat	=	no
hov,yes,hov	=	si
lit,no,il·luminat	=	no
lit,yes,il·luminat	=	sí
implicit,yes,implícit	=	sí
import,yes,importar	=	sí
informal,yes,informal	=	sí
indoor,no,interior	=	no
indoor,yes,interior	=	sí
intermittent,no,intermitent	=	no
intermittent,yes,intermitent	=	sí
internet_access:fee,no,internet_access:tarifa	=	no
irrigation,yes,irrigació	=	si
irrigated,no,irrigat	=	no
irrigated,yes,irrigat	=	si
jetski:rental,yes,jetski:lloguer	=	si
working,yes,laboral	=	sí
LandPro08:reviewed,no,LandPro08: revisat	=	no
toilets:wheelchair,no,lavabos: cadira de rodes	=	no
toilets:wheelchair,yes,lavabos: cadira de rodes	=	sí
toilets:access,yes,lavabos:accés	=
lcn,yes,lcn	=	sí
place_of_mourning,yes,lloc de dol	=	si
passing_places,no,llocs de pas	=	no
passing_places,yes,llocs de pas	=	si
luminous,no,lluminós	=	no
localizer,yes,localitzador	=	si
lottery,yes,loteria	=	si
wholesale,no,majorista	=	no
wholesale,yes,majorista	=	sí
forklift,no,màquina elevadora	=	no
forklift,yes,màquina elevadora	=	si
seamark:radar_reflector,no,marca de mar: reflector de radar	=	no
seamark:radar_reflector,yes,marca de mar: reflector de radar	=	si
seamark:fog_signal,yes,marca de mar: senyal de boira	=	si
maritime,yes,marítim	=	sí
lane_markings,no,marques_de_carril	=	no
lane_markings,yes,marques_de_carril	=	sí
male,yes,masculí	=	sí
hazmat,no,materials perillosos	=	no
maxspeed,no,màxima velocitat	=	no
mechanical,yes,mecànic	=	sí
microbrewery,yes,microcerveseria	=	si
military,yes,militar	=	si
median,no,mitjana	=	no
mofa,no,mofa	=	no
mofa,yes,mofa	=	sí
currency:EUR,yes,moneda: euros	=	sí
memorial,yes,monument	=	si
motorcycle:rental,yes,moto:lloguer	=	si
motorcycle,no,motocicleta	=	no
motorcycle,yes,motocicleta	=	sí
motorcycle:tyres,yes,motocicleta: pneumàtics	=	si
motorcycle:repair,yes,motocicleta: reparació	=	si
motorcycle:theme,yes,motocicleta: tema	=	si
motorcycle:clothes,yes,motocicleta:roba	=	si
motorcycle:sales,yes,motocicleta:vendes	=	si
snowmobile,no,motoneu	=	no
snowmobile,yes,motoneu	=	sí
motorboat,no,motora	=	no
motorboat,yes,motora	=	sí
handrail,no,mural	=	no
naptan:verified,no,naptan: verificat	=	no
naptan:verified,yes,naptan: verificat	=	sí
natural,yes,natural	=	si
nonsquare,yes,no quadrat	=	si
unsigned,yes,no signat	=	si
name:signed,no,nom: signat	=	no
4wd_only,yes,Només 4x4	=	sí
noref,yes,noref	=	sí
ocean,yes,Oceà	=	sí
office,yes,oficina	=	sí
osmarender:render,no,osmarender:renderitzar	=	no
osmarender:renderRef,no,osmarender:renderRef	=	no
osmarender:renderName,no,osmarender:representarNom	=	no
payment:cash,no,Pagament en efectiu	=	no
payment:cash,yes,Pagament en efectiu	=	sí
payment:american_express,yes,pagament: american_express	=	sí
payment:jcb,yes,pagament: jcb	=	sí
payment:contactless,yes,pagament: sense contacte	=	sí
payment:cards,yes,pagament: targetes	=	sí
payment:visa_debit,yes,pagament: visa_debit	=	sí
payment:visa_electron,yes,pagament: visa_electron	=	sí
payment:credit_cards,no,pagament:credit_cards	=	no
payment:credit_cards,yes,pagament:credit_cards	=	sí
payment:discover_card,yes,pagament:descobrir_targeta	=	sí
payment:diners_club,yes,pagament:diners_club	=	sí
payment:ep_easycard,yes,pagament:ep_easycard	=	sí
payment:ep_ipass,yes,pagament:ep_ipass	=	sí
payment:girocard,yes,pagament:girocard	=	sí
payment:mastercard,yes,pagament:mastercard	=	sí
payment:maestro,yes,pagament:mestre	=	sí
payment:coins,yes,pagament:monedes	=	sí
payment:notes,yes,pagament:notes	=	sí
payment:debit_cards,no,pagament:targetes_dèbit	=	no
payment:debit_cards,yes,pagament:targetes_dèbit	=	sí
payment:telephone_cards,yes,pagament:telefon_targetes	=	sí
payment:visa,yes,pagament:visat	=	sí
passenger_information_display,no,pantalla_d'informació_del_passatger	=	no
passenger_information_display,yes,pantalla_d'informació_del_passatger	=	sí
recycling:paper,yes,paper reciclat	=	sí
parcel_mail_in,yes,paquet_correu_en	=	sí
playground,yes,parc infantil	=	si
wall,no,paret	=	no
wall,yes,paret	=	sí
motorcycle:parts,yes,parts de motocicleta	=	si
handrail:right,yes,passamans: dret	=	sí
handrail:left,yes,passamans:esquerra	=	sí
passenger,no,passatger	=	no
passenger,yes,passatger	=	si
park_ride,no,passeig del Parc	=	no
park_ride,yes,passeig del Parc	=	sí
stroller,yes,passejant	=	sí
flat_steps,yes,passos plans	=	si
tactile_paving,no,paviment_tactil	=	no
tactile_paving,yes,paviment_tactil	=	sí
toll,no,peatge	=	no
toll,yes,peatge	=	sí
toll:bus,yes,peatge: autobús	=	sí
toll:designated,yes,peatge: designat	=	si
toll:hgv,yes,peatge:hgv	=	sí
toll:N3,yes,peatge:N3	=	sí
pilgrimage,yes,pelegrinatge	=	si
glideslope,yes,pendent de planeig	=	si
maxweight:signed,no,pes màxim: signat	=	no
foot,no,peu	=	no
foot,yes,peu	=	sí
trailblazed,yes,pioner	=	sí
swimming_pool,yes,piscina	=	si
piste:oneway,yes,pista: anada	=	sí
plant:output:electricity,yes,planta:producte:electricitat	=	sí
nest_platform,yes,plataforma niu	=	si
pole,no,pol	=	no
police,yes,policia	=	si
bridge,no,pont	=	no
bridge,yes,pont	=	sí
harbour,yes,port	=	si
mountain_pass,yes,Port de muntanya	=	sí
door,yes,porta	=	sí
handrail,yes,pretil	=	sí
project:eurosha_2012,yes,projecte:eurosha_2012	=	sí
project:mappingforniger,yes,projecte:mappingforniger	=	sí
flood_prone,no,propens a inundar-se	=	no
flood_prone,yes,propens a inundar-se	=	sí
hazard_prone,yes,propens a perills	=	si
protected,yes,protegit	=	sí
pseudo,yes,pseudo	=	si
psv,no,psv	=	no
psv,yes,psv	=	sí
survey_point:datum_aligned,no,punt d'aixecament: datum alineat	=	no
survey_point:datum_aligned,yes,punt d'aixecament: datum alineat	=	si
reference_point,yes,punt de referència	=	si
assembly_point:landslide,yes,punt de reunió: lliscament de terra	=	si
assembly_point:flood,yes,punt de trobada: inundació	=	si
assembly_point:earthquake,yes,punt de trobada: terratrèmol	=	si
assembly_point:tornado,yes,punt de trobada: tornado	=	si
assembly_point:fire,yes,punt de trobada:foc	=	si
assembly_point:tsunami,yes,punt de trobada:tsunami	=	si
triangulation_point,yes,punt_de_triangulació	=	sí
ramp,no,rampa	=	no
ramp,yes,rampa	=	sí
ramp:bicycle,yes,rampa:bicicleta	=	sí
ramp:stroller,yes,rampa:cotxet	=	sí
ramsar,yes,Ramsar	=	si
trail_visibility,no,rastre_visibilitat	=	no
rcn,yes,rcn	=	sí
recycling:waste,yes,reciclatge de residus	=	sí
recycling:cans,yes,reciclatge: llaunes	=	sí
recycling:batteries,yes,reciclatge: piles	=	sí
recycling:clothes,yes,reciclatge: roba	=	sí
recycling:shoes,yes,reciclatge: sabates	=	sí
recycling:plastic_bottles,yes,reciclatge:ampolles_de_plastico	=	sí
recycling:glass_bottles,yes,reciclatge:ampolles_de_vidre	=	sí
recycling:cardboard,yes,reciclatge:cartró	=	sí
recycling:green_waste,yes,reciclatge:green_waste	=	sí
recycling:paper_packaging,yes,reciclatge:paper_embalatge	=	sí
recycling:plastic,yes,reciclatge:plàstic	=	sí
recycling:plastic_packaging,yes,reciclatge:plastic_packaging	=	sí
recycling:glass,no,reciclatge:vidre	=	no
recycling:glass,yes,reciclatge:vidre	=	sí
recycling:scrap_metal,yes,reciclatge:xatarra_metal	=	sí
parcel_pickup,yes,recollida_paquet	=	sí
refitted,yes,recondicionat	=	si
rednap:nodo,no,rednap: node	=	no
refrigerated,yes,refrigerat	=	si
shelter,no,refugi	=	no
shelter,yes,refugi	=	sí
animal_shelter:sanctuary,yes,refugi d'animals: santuari	=	si
refugee,yes,refugiat	=	si
reclaimed,yes,regenerat	=	si
repair,yes,reparar	=	si
reservation,yes,reserva	=	sí
backrest,no,respatller	=	no
backrest,yes,respatller	=	sí
ruins,yes,restes	=	sí
review,no,revisió	=	no
review_requested,yes,revisió sol·licitada	=	si
salt,no,sal	=	no
salt,yes,sal	=	sí
second_hand,yes,segona mà	=	sí
outdoor_seating,no,seients a l'aire lliure	=	no
outdoor_seating,yes,seients a l'aire lliure	=	sí
indoor_seating,yes,seients_interiors	=	sí
footway,yes,senda	=	si
hiking,yes,senderisme	=	sí
noaddress,yes,sense adreça	=	sí
noname,yes,sense nom	=	sí
nohousenumber,yes,sense número de casa	=	sí
noexit,no,Sense sortida	=	no
noexit,yes,Sense sortida	=	sí
traffic_sign,yes,senyal de trànsit	=	sí
traffic_signals:vibration,no,senyals_de_tràfic: vibració	=	no
traffic_signals:vibration,yes,senyals_de_tràfic: vibració	=	sí
traffic_signals:sound,no,senyals_de_trànsit:so	=	no
traffic_signals:sound,yes,senyals_de_trànsit:so	=	sí
drive_through,no,servei al carro	=	no
drive_through,yes,servei al carro	=	sí
NHS,yes,Servei Nacional de Salut	=	sí
winter_service,no,servei_d'hivern	=	no
winter_service,yes,servei_d'hivern	=	sí
service:bicycle:repair,yes,servei:bicicleta:reparació	=	sí
service:vehicle:tyres,yes,servei:vehicle:pneumàtics	=	si
real_cider,yes,sidra de veritat	=	si
medical_system:western,yes,sistema mèdic:occidental	=	si
request_stop,yes,sol·licitud de parada	=	si
exit,yes,sortida	=	sí
departures_board,no,sortides a bord	=	no
departures_board,yes,sortides a bord	=	sí
roof:downpipe,no,sostre: baixant	=	no
on_demand,yes,Sota demanda	=
source_type_imagery,yes,source_type_imagery	=	sí
substation,yes,subestació	=	si
submarine,yes,submarí	=	si
subway,yes,subterrani	=	sí
supervised,no,supervisat	=	no
supervised,yes,supervisat	=	sí
cutting,yes,tall	=	sí
lock,yes,tancar	=	sí
fenced,yes,tancat	=	si
fee,no,tarifa	=	no
fee,yes,tarifa	=	sí
bench,no,taula de treball	=	no
bench,yes,taula de treball	=	sí
changing_table,no,taula per canviar bolquers	=	no
changing_table,yes,taula per canviar bolquers	=	sí
taxi,yes,taxi	=	sí
jeepney,yes,taxi col·lectiu	=	si
embankment,yes,terraplè	=	sí
typhoon:damage,yes,tifó: mal	=	sí
typhoon:reviewed,yes,tifó: revisat	=	sí
tiger:reviewed,no,tigre: revisat	=	no
tiger:reviewed,yes,tigre: revisat	=	sí
tiger:separated,no,tigre: separat	=	no
triple_tower,yes,torre_triple	=	sí
snowplowing,yes,traient la neu	=	sí
tram,yes,tramvia	=	sí
transformer,yes,transformador	=	si
radio_transponder:AIS,yes,transponedor de ràdio: AIS	=	si
conveying,yes,transport	=	sí
ferry,no,transportar	=	no
ferry,yes,transportar	=	sí
backcountry,yes,travessia	=	sí
train,no,tren	=	no
train,yes,tren	=	sí
light_rail,yes,Tren Lleuger	=	sí
takeaway,yes,treure	=	sí
trolleybus,yes,trolebús	=	sí
trolley_wire,yes,trolley_wire	=	sí
tunnel,no,túnel	=	no
tunnel,yes,túnel	=	sí
tourism,yes,turisme	=	si
location:transition,yes,ubicació: transició	=	sí
building,yes,"Un edifici és una construcció permanent amb sostre i parets, utilitzat per a diversos propòsits | edifici	=	sí"
oneway:moped,no,unidireccional: ciclomotor	=	no
oneway:mofa,no,unidireccional: mofa	=	no
oneway:psv,no,unidireccional: psv	=	no
junction,yes,unió	=	sí
unisex,yes,unisexe	=	sí
landuse,yes,ús del sòl	=	si
boat,no,vaixell	=	no
boat,yes,vaixell	=	sí
boat:rental,yes,vaixell: lloguer	=
vehicle,no,vehicle	=	no
vehicle,yes,vehicle	=	sí
motor_vehicle,no,Vehicle de motor	=	no
motor_vehicle,yes,Vehicle de motor	=	sí
sailing:tours,yes,vela:excursions	=	si
maxspeed:variable,yes,velocitat màxima: variable	=	sí
street_vendor,yes,venedor ambulant	=	si
hgv,no,vhg	=	no
hgv,yes,vhg	=	sí
roundtrip,no,viatge anada i tornada	=	no
roundtrip,yes,viatge anada i tornada	=	sí
living_street,yes,viure_carrer	=	sí
sidewalk,no,vorera	=	no
sidewalk:right,no,vorera: dreta	=	no
sidewalk:left,no,vorera: esquerra	=	no
fireplace,yes,xemeneia	=	sí
area:highway,yes,zona:carretera	=	sí
addr:contact,yes,adreça:contacte=sí
air_conditioning,no,aire acondicionat=no
armrest,no,barana=no
armrest,yes,barana=sí
authentication:app,yes,autenticació:aplicació=sí
authentication:contactless,yes,autenticació:contactless=sí
automated,no,automatitzat=no
bar,yes,bar=sí
barrier:keypad,yes,barrera:keypad=sí
canoe,no,canoa=no
canoe,yes,canoa=sí
caravans,no,caravanes=no
cash_in,no,efectiu_en=no
cash_in,yes,efectiu_dins=sí
centre_turn_lane,yes,camí_de_torn central=sí
club,yes,club=sí
communication:lte,yes,comunicació:lte=sí
communication:microwave,yes,comunicació:microona=sí
communication:radio,yes,comunicació:la ràdio=sí
complete,yes,completa=sí
crossing:markings,no,encreuament:marques=no
crossing:markings,yes,encreuament:marques=sí
crossing:signals,no,creuant:senyala=no
crossing:signals,yes,encreuament:senyals=sí
currency:USD,yes,moneda:USD=sí
currency:XBT,yes,moneda:XBT=sí
cycleway:both:buffer,no,carril bici:tant:para-xocs=no
cycleway:left:oneway,no,carril bici:esquerra:oneway=no
cycleway:right:buffer,yes,carril bici:dret:para-xocs=sí
cycleway:right:oneway,yes,carril bici:dret:oneway=sí
cycleway:right:segregated,no,carril bici:dret:segregat=no
destroyed:building,yes,destruït:construint=sí
diet:halal,no,dieta:halal=no
diet:halal,yes,dieta:halal=sí
diet:kosher,no,dieta:kosher=no
diet:vegan,no,dieta:vegan=no
door,no,porta=no
female,no,femella=no
fire_hydrant:diameter:signed,no,hidrant_de foc:diàmetre:signat=no
fixme,yes,fixme=sí
flashing_lights,no,pampalluguejant_les llums=no
floating,no,flotants=no
fuel:GTL_diesel,yes,combustible:GTL_dièsel=sí
fuel:octane_91,yes,combustible:octane_91=sí
generator:solar:tracking,no,generador:solar:seguint=no
geometry:reviewed,no,geometria:revisat=no
grande_circulation,yes,grande_circulació=sí
hgv:national_network,no,hgv:la_xarxa nacional=no
indoor_seating,no,interior_seure=no
informal,no,informal=no
internet_access:fee,yes,accés_d'internet:cost=sí
language:en,yes,llengua:en=sí
LINZ:reviewed,no,LINZ:revisat=no
lockable,yes,lockable=sí
luminous,yes,lluminós=sí
magic_wand,yes,vareta_màgica=sí
marker,yes,marcador=sí
maxheight:signed,no,maxheight:signat=no
maxstay,no,maxstay=no
monitoring:water_level,yes,control:nivell_d'aigua=sí
monitoring:weather,yes,controlant:temps=sí
obstacle:parking,yes,obstacle:aparcant=sí
offshore,yes,offshore=sí
organic,yes,orgànic=sí
overtaking:hgv,no,avançament:hgv=no
parking:both,yes,aparcament:tant=sí
parking:both:fee,no,aparcar:tant:cost=no
parking:fee,no,aparcament:cost=no
parking:left,yes,aparcament:va deixar=sí
parking:left:fee,no,aparcant:esquerra:cost=no
parking:right,yes,aparcament:dret=sí
parking:right:fee,no,aparcant:dret:cost=no
payment:app,yes,pagament:aplicació=sí
payment:apple_pay,yes,pagament:paga_de poma=sí
payment:cards,no,pagament:cartes=no
payment:cryptocurrencies,no,pagament:cryptocurrencies=no
payment:google_pay,yes,pagament:google_paga=sí
payment:lightning,yes,pagament:llampec=sí
payment:notes,no,pagament:nota=no
payment:onchain,yes,pagament:onchain=sí
payment:unionpay,yes,pagament:unionpay=sí
pole,yes,pol=sí
power_supply,no,abastament_de poder=no
preschool,yes,preescolar=sí
priority_road,yes,carretera_de prioritat=sí
railway:asfa,yes,via:asfa=sí
railway:atc,no,via:atc=no
railway:aws,yes,via:aws=sí
railway:ctc,no,via:ctc=no
railway:ctc,yes,via:ctc=sí
railway:etms,yes,via:etms=sí
railway:evm,no,via:evm=no
railway:kvb,no,via:kvb=no
railway:ls,yes,via:ls=sí
railway:ptc,no,via:ptc=no
railway:ptc,yes,via:ptc=sí
railway:shp,yes,via:shp=sí
railway:switch:heated,yes,via:canvi:escalfat=sí
railway:tilting,no,via:inclinant-se=no
railway:tpws,yes,via:tpws=sí
railway:tvm,no,via:tvm=no
ramp:wheelchair,no,rampa:cadira de rodes=no
ramp:wheelchair,yes,rampa:cadira de rodes=sí
recycling:beverage_cartons,yes,reciclant:cartons_de beguda=sí
recycling:magazines,yes,reciclant:magazins=sí
recycling:newspaper,yes,reciclant:diari=sí
recycling:organic,yes,reciclant:orgànic=sí
recycling:plastic,no,reciclant:plàstic=no
ref:signed,no,ref:signat=no
reservation,no,reserva=no
ruins:building,yes,ruïna:construint=sí
sanitary_dump_station,yes,estació_de_abocador sanitari=sí
scenic,yes,escènica=sí
service:bicycle:pump,yes,servei:bicicleta:bomba=sí
service:bicycle:retail,yes,servei:bicicleta:minorista=sí
