id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
jbda-aoi-komaki-aoikotsu,gtfs,,JP,Aichi Prefecture,Komaki,あおい交通,True,あおい交通,"収録路線：ピーチバス、桃花台バス、名古屋空港直行バス
GTFS-JP　３版対応",gtfsinfo@rosenzu.com,,https://api.gtfs-data.jp/v2/organizations/aoi-komaki/feeds/aoikotsu/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aoi-komaki-aoikotsu/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.16988,35.30531,136.884789,136.997026,2025-10-29 19:00:09.944728+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-aokivillage-aokisoneibus,gtfs,,JP,Nagano Prefecture,Aoki,青木村,True,青木村営バス,,zaisei@vill.aoki.nagano.jp,,https://api.gtfs-data.jp/v2/organizations/aokivillage/feeds/aokisoneibus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aokivillage-aokisoneibus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,36.337744,36.3959477030782,138.084755,138.249358836008,2025-10-29 18:29:34.183477+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-aridagawatown-aridagawatownbus,gtfs,,JP,Wakayama Prefecture,Aridagawa,有田川町,True,有田川町コミュニティバス,not_set,b.kikakuzaisei@town.aridagawa.lg.jp,,https://api.gtfs-data.jp/v2/organizations/aridagawatown/feeds/aridagawatownbus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-aridagawatown-aridagawatownbus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.047234,34.1344,135.248821,135.51503,2025-10-29 19:09:29.359818+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-asatetu-asakaigantetsudo,gtfs,,JP,Tokushima Prefecture,Kaiyo,阿佐海岸鉄道株式会社,True,阿佐海岸鉄道株式会社【DMV】,not_set,info@asatetu.com,,https://api.gtfs-data.jp/v2/organizations/asatetu/feeds/asakaigantetsudo/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-asatetu-asakaigantetsudo/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.245658,33.61329,134.160491,134.356905,2025-10-29 21:07:03.004868+00:00,inactive,Fares V1|Feed Information|Headsigns|Location Types|Shapes|Translations,,
jbda-ashiyatown-AshiyaTownBus,gtfs,,JP,Fukuoka Prefecture,Ashiya,芦屋町,True,芦屋町コミュニティバス 芦屋タウンバス,,remilab-staff@is.kyusan-u.ac.jp,,https://api.gtfs-data.jp/v2/organizations/ashiyatown/feeds/AshiyaTownBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-ashiyatown-AshiyaTownBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.84689426,33.91465831,130.6594386,130.6787215,2025-10-29 21:12:55.217005+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Shapes|Translations,,
jbda-awajicity-awaji-jenova-line-akashi-iwaya,gtfs,,JP,Hyogo,,淡路市,True,淡路ジェノバライン明石岩屋航路,,t-soumu@city.awaji.lg.jp,,https://api.gtfs-data.jp/v2/organizations/awajicity/feeds/awaji-jenova-line-akashi-iwaya/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-awajicity-awaji-jenova-line-akashi-iwaya/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.590382,34.64535,134.990183,135.020288,2025-10-29 19:06:54.690398+00:00,active,Bike Allowed|Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility|Translations|Trips Wheelchair Accessibility,,
jbda-awajicity-awajinawahimebus,gtfs,,JP,Hyogo Prefecture,Awaji,淡路市,True,あわ神あわ姫バス,not_set,t-soumu@city.awaji.lg.jp,,https://api.gtfs-data.jp/v2/organizations/awajicity/feeds/awajinawahimebus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-awajicity-awajinawahimebus/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.3456716957449,34.60746,134.8277,135.0246,2025-10-29 19:06:54.210792+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors,,
jbda-busnet-tsu-guruttotsubus,gtfs,,JP,Mie Prefecture,Tsu,バスネット津,True,ぐるっと・つーバス,"収録路線：全路線
　GTFS-JP3版対応",gtfsinfo@rosenzu.com,,https://api.gtfs-data.jp/v2/organizations/busnet-tsu/feeds/guruttotsubus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-busnet-tsu-guruttotsubus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.707375,34.722121,136.497856,136.524187,2025-10-29 19:02:20.223404+00:00,active,Attributions|Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Transfers|Translations,,
jbda-buzencity-BuzenCityBus,gtfs,,JP,Fukuoka Prefecture,Buzen,豊前市,True,豊前市バス,not_set,remilab-staff@is.kyusan-u.ac.jp,,https://api.gtfs-data.jp/v2/organizations/buzencity/feeds/BuzenCityBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-buzencity-BuzenCityBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.52934436,33.62486370253029,131.01735269773934,131.1554406312226,2025-10-29 21:13:17.113942+00:00,active,Fares V1|Feed Information|Headsigns|Route Colors|Shapes|Translations,,
jbda-chigasakicity-eboshigou,gtfs,,JP,Kanagawa Prefecture,Chigasaki,茅ヶ崎市,True,コミュニティバスえぼし号,,toshiseisaku@city.chigasaki.kanagawa.jp,,https://api.gtfs-data.jp/v2/organizations/chigasakicity/feeds/eboshigou/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chigasakicity-eboshigou/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.31849,35.38321,139.3737,139.4434,2025-10-29 18:25:01.688589+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-chikugocity-HainuzukaStationAreaLoopBus,gtfs,,JP,Fukuoka Prefecture,Chikugo,筑後市,True,羽犬塚駅周辺循環バス,not_set,remilab-staff@is.kyusan-u.ac.jp,,https://api.gtfs-data.jp/v2/organizations/chikugocity/feeds/HainuzukaStationAreaLoopBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chikugocity-HainuzukaStationAreaLoopBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.2041815,33.2169826,130.4918761,130.51944367036268,2025-10-29 21:13:16.368451+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-chikujotown-ChikujoTownCommunityBus,gtfs,,JP,Fukuoka Prefecture,Chikujo,築上町,True,築上町コミュニティバス,not_set,kikaku@town.chikujo.lg.jp,,https://api.gtfs-data.jp/v2/organizations/chikujotown/feeds/ChikujoTownCommunityBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chikujotown-ChikujoTownCommunityBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.594639,33.679694,130.998083,131.084222,2025-11-22 00:50:39.367411+00:00,active,Fares V1|Feed Information|Headsigns|Route Colors|Shapes|Translations,,
jbda-chikuma-bus-rosenbus,gtfs,,JP,Nagano Prefecture,Ueda,千曲バス株式会社,True,路線バス,佐久御代田線、山手線、鹿教湯線、室賀線、上田松本線、青木線、祢津線、武石線、中仙道線、白駒線、美ヶ原高原観光バス,eigyo@chikuma-bus.co.jp,,https://api.gtfs-data.jp/v2/organizations/chikuma-bus/feeds/rosenbus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chikuma-bus-rosenbus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,36.0557086727864,36.4183557677087,137.966257824412,138.50726489615,2025-10-29 18:29:34.652417+00:00,active,Bike Allowed|Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-chikumacity-chikumajunkanbus,gtfs,,JP,Nagano Prefecture,Chikuma,千曲市,True,千曲市循環バス,大循環線、東部線、姨捨線、大田原線、更級戸倉線、五加戸倉線、上山田線、おばすて棚田・温泉観光便,joho@city.chikuma.lg.jp,,https://api.gtfs-data.jp/v2/organizations/chikumacity/feeds/chikumajunkanbus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chikumacity-chikumajunkanbus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,36.4569741530596,36.5559716093853,138.05827411907,138.168556512876,2025-10-29 18:29:58.498851+00:00,inactive,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-chiryucity-communitybus,gtfs,,JP,Aichi Prefecture,Chiryu,知立市,True,知立市「ミニバス」（コミュニティバス）,"収録路線：ミニバス全路線
GTFS-JP３版対応",gtfsinfo@rosenzu.com,,https://api.gtfs-data.jp/v2/organizations/chiryucity/feeds/communitybus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chiryucity-communitybus/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.9776,35.019371,137.02397,137.07677,2025-10-29 19:00:10.024743+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Transfers|Translations,,
jbda-chitacity-chita-aiaibus,gtfs,,JP,Aichi Prefecture,Agui,知多市,True,知多市コミュニティバス「あいあいバス」,北部循環コース（系統１、系統２）、南部コース,kyoudou@city.chita.lg.jp,,https://api.gtfs-data.jp/v2/organizations/chitacity/feeds/chita-aiaibus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chitacity-chita-aiaibus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,34.935346,35.001914,136.828827,136.915017,2025-12-05 01:22:13.102407+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-chitacity-chita-aiaibus-sa,gtfs_rt,sa,JP,Aichi Prefecture,Agui,知多市,True,知多市コミュニティバス「あいあいバス」,北部循環コース（系統１、系統２）、南部コース,kyoudou@city.chita.lg.jp,jbda-chitacity-chita-aiaibus,https://realtime.gtfs.info/chita/alert.pb,0,,,,https://creativecommons.org/licenses/by/4.0/deed.ja,34.935346,35.001914,136.828827,136.915017,2025-12-05 01:22:13.102407+00:00,active,,,
jbda-chitacity-chita-aiaibus-tu,gtfs_rt,tu,JP,Aichi Prefecture,Agui,知多市,True,知多市コミュニティバス「あいあいバス」,北部循環コース（系統１、系統２）、南部コース,kyoudou@city.chita.lg.jp,jbda-chitacity-chita-aiaibus,https://realtime.gtfs.info/chita/trip_update.pb,0,,,,https://creativecommons.org/licenses/by/4.0/deed.ja,34.935346,35.001914,136.828827,136.915017,2025-12-05 01:22:13.102407+00:00,active,,,
jbda-chitacity-chita-aiaibus-vp,gtfs_rt,vp,JP,Aichi Prefecture,Agui,知多市,True,知多市コミュニティバス「あいあいバス」,北部循環コース（系統１、系統２）、南部コース,kyoudou@city.chita.lg.jp,jbda-chitacity-chita-aiaibus,https://realtime.gtfs.info/chita/vehicle.pb,0,,,,https://creativecommons.org/licenses/by/4.0/deed.ja,34.935346,35.001914,136.828827,136.915017,2025-12-05 01:22:13.102407+00:00,active,,,
jbda-chitetsu-chitetsubus,gtfs,,JP,Toyama Prefecture,Himi,富山地方鉄道,True,富山地方鉄道バス,,,,https://api.gtfs-data.jp/v2/organizations/chitetsu/feeds/chitetsubus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chitetsu-chitetsubus/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,36.56161353,36.9060161,136.987061812381,137.510317753334,2025-10-29 18:26:16.810727+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Shapes|Translations,,
jbda-chitetsu-chitetsubus-tu,gtfs_rt,tu,JP,Toyama Prefecture,Himi,富山地方鉄道,True,富山地方鉄道バス,,,jbda-chitetsu-chitetsubus,https://gtfs-rt-files.buscatch.jp/toyama/chitetsu/TripUpdates.pb,0,,,,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,36.56161353,36.9060161,136.987061812381,137.510317753334,2025-10-29 18:26:16.810727+00:00,active,,,
jbda-chitetsu-chitetsubus-vp,gtfs_rt,vp,JP,Toyama Prefecture,Himi,富山地方鉄道,True,富山地方鉄道バス,,,jbda-chitetsu-chitetsubus,https://gtfs-rt-files.buscatch.jp/toyama/chitetsu/VehiclePositions.pb,0,,,,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,36.56161353,36.9060161,136.987061812381,137.510317753334,2025-10-29 18:26:16.810727+00:00,active,,,
jbda-chitetsu-chitetsushinaidensha,gtfs,,JP,Toyama Prefecture,Toyama,富山地方鉄道,True,富山地方鉄道市内電車,,,,https://api.gtfs-data.jp/v2/organizations/chitetsu/feeds/chitetsushinaidensha/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chitetsu-chitetsushinaidensha/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,36.6705204722661,36.7613627664226,137.191196828679,137.234059466553,2025-10-29 18:25:49.884817+00:00,active,Feed Information|Headsigns|Location Types|Shapes|Translations,,
jbda-chitetsu-chitetsushinaidensha-tu,gtfs_rt,tu,JP,Toyama Prefecture,Toyama,富山地方鉄道,True,富山地方鉄道市内電車,,,jbda-chitetsu-chitetsushinaidensha,https://gtfs-rt-files.buscatch.jp/toyama/chitetsu_tram/TripUpdates.pb,0,,,,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,36.6705204722661,36.7613627664226,137.191196828679,137.234059466553,2025-10-29 18:25:49.884817+00:00,active,,,
jbda-chitetsu-chitetsushinaidensha-vp,gtfs_rt,vp,JP,Toyama Prefecture,Toyama,富山地方鉄道,True,富山地方鉄道市内電車,,,jbda-chitetsu-chitetsushinaidensha,https://gtfs-rt-files.buscatch.jp/toyama/chitetsu_tram/VehiclePositions.pb,0,,,,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,36.6705204722661,36.7613627664226,137.191196828679,137.234059466553,2025-10-29 18:25:49.884817+00:00,active,,,
jbda-chukibus-chukibus,gtfs,,JP,Wakayama,,中紀バス,True,中紀バス,,info@chukibus-group.co.jp,,https://api.gtfs-data.jp/v2/organizations/chukibus/feeds/chukibus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-chukibus-chukibus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.890275,34.056599,135.072295,135.193181,2025-10-29 19:09:28.930527+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Translations,,
jbda-daishinto-Radiant-City,gtfs,,JP,Kanagawa Prefecture,Yokohama,大新東株式会社,True,レイディアントシティ横濱,京浜急行金沢文庫駅西口から大規模マンション「レイディアントシティ横濱 ル・グランブルー」までの区間を自主運行する乗合バスです。,kawai@shidax.co.jp,,https://api.gtfs-data.jp/v2/organizations/daishinto/feeds/Radiant-City/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-daishinto-Radiant-City/latest.zip,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,35.334438,35.344308,139.610075,139.620599,2025-10-29 18:25:01.611218+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Shapes|Translations,,
jbda-dazaifucity-DazaifuCityCommunityBus,gtfs,,JP,Fukuoka Prefecture,Dazaifu,太宰府市,True,太宰府市コミュニティバスまほろば号,"地域サポートカー3路線（湯の谷地域線、連歌屋地域線、東観世地域線）
",remilab-staff@is.kyusan-u.ac.jp,,https://api.gtfs-data.jp/v2/organizations/dazaifucity/feeds/DazaifuCityCommunityBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-dazaifucity-DazaifuCityCommunityBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.51054853991267,33.5246328589549,130.5218965000953,130.53738637580693,2025-10-29 21:13:16.537110+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-enacity-communitybus,gtfs,,JP,Gifu Prefecture,Ena,恵那市,True,恵那市自主運行バス（コミュニティバス）,"収録路線：自主運行バス全路線（デマンド交通を除く）
　GTFS-JP３版対応",koutsuu@city.ena.lg.jp,,https://api.gtfs-data.jp/v2/organizations/enacity/feeds/communitybus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-enacity-communitybus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,35.237056,35.528618,137.252775,137.517645,2025-10-29 18:32:58.368286+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-feel-the-zao-feelthezao,gtfs,,JP,Yamagata Prefecture,Yamagata,「世界の蔵王」プロジェクト実行委員会,True,zaoproject,not_set,feel.the.zao@gmail.com,,https://api.gtfs-data.jp/v2/organizations/feel-the-zao/feeds/feelthezao/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-feel-the-zao-feelthezao/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,38.167435,38.31108,140.393693,140.435639,2025-10-29 18:19:37.233677+00:00,inactive,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Translations,,
jbda-fukuoka-kawasakitown-KawasakiTownFureaiBus,gtfs,,JP,Fukuoka Prefecture,Kawasaki,川崎町,True,川崎町ふれあいバス,not_set,remilab-staff@is.kyusan-u.ac.jp,,https://api.gtfs-data.jp/v2/organizations/fukuoka-kawasakitown/feeds/KawasakiTownFureaiBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-fukuoka-kawasakitown-KawasakiTownFureaiBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.539237088055046,33.630639941405185,130.78889780830434,130.84062113278694,2025-10-29 21:13:16.621079+00:00,active,Fares V1|Feed Information|Headsigns|Route Colors|Shapes|Translations,,
jbda-fukuoka-kogacity-KogaBus,gtfs,,JP,Fukuoka Prefecture,Koga,古賀市,True,コガバス,not_set,remilab-staff@is.kyusan-u.ac.jp,,https://api.gtfs-data.jp/v2/organizations/fukuoka-kogacity/feeds/KogaBus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-fukuoka-kogacity-KogaBus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.6994403,33.73195791311047,130.449588,130.4869316,2025-10-29 21:13:41.252910+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Shapes|Translations,,
jbda-fukusakitown-junkai-fukuhime-fukusakikasairenkei,gtfs,,JP,Hyogo Prefecture,Fukusaki,福崎町,True,巡回バス/ふくひめ号/福崎町・加西市連携コミュニティバス,not_set,machi@town.fukusaki.lg.jp,,https://api.gtfs-data.jp/v2/organizations/fukusakitown/feeds/junkai-fukuhime-fukusakikasairenkei/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-fukusakitown-junkai-fukuhime-fukusakikasairenkei/latest.zip,https://creativecommons.org/licenses/by/2.1/jp/,34.926193,34.984032,134.723223,134.787993,2025-10-29 19:06:55.109595+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-fukutsucity-minibus,gtfs,,JP,Fukuoka Prefecture,Fukutsu,福津市,True,ふくつミニバス・ふくつ乗合タクシー,福間周回線、津屋崎線、上西郷線、勝浦線、東福間・若木台線、ふくつ乗合タクシー,toshi@city.fukutsu.lg.jp,,https://api.gtfs-data.jp/v2/organizations/fukutsucity/feeds/minibus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-fukutsucity-minibus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.7497311,33.8425133,130.4565417,130.5346144,2025-10-29 21:13:41.493661+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-gan-wu-shiokazeline,gtfs,,JP,Hokkaido Prefecture,Tomari,岩宇地域公共交通活性化協議会,True,しおかぜライン,"収録路線：しおかぜライン
GTFS-JP3版対応",kikaku@town.hokkaido-kyowa.lg.jp,,https://api.gtfs-data.jp/v2/organizations/gan-wu/feeds/shiokazeline/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-gan-wu-shiokazeline/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,42.97436,43.219862,140.327177,140.567549,2025-10-29 18:18:25.567341+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
jbda-geiseivillage-GTFS-Geiseivill_Bus,gtfs,,JP,Kochi Prefecture,Geisei,芸西村,True,芸西村「おでかけバス」,,https://www.vill.geisei.kochi.jp/pages/m000780.php,,https://api.gtfs-data.jp/v2/organizations/geiseivillage/feeds/GTFS-Geiseivill_Bus/files/feed.zip?rid=current,0,,,https://files.mobilitydatabase.org/jbda-geiseivillage-GTFS-Geiseivill_Bus/latest.zip,https://creativecommons.org/licenses/by/4.0/deed.ja,33.517252,33.544673,133.770692,133.826782,2025-10-29 21:08:48.951310+00:00,active,Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Translations,,
