key,value,definition
amenity,vehicle_inspection,amenity=vehicle_inspection
amenity,vending_machine,amenity=vending_machine
amenity,veterinary,amenity=veterinary
amenity,waste_basket,amenity=waste_basket
amenity,waste_disposal,amenity=waste_disposal
amenity,water_point,amenity=water_point
amenity,watering_place,amenity=watering_place
amenity,weighbridge,amenity=weighbridge
animated,no,animated=no
aquaculture,shrimp,aquaculture=shrimp
archaeological_site,fortification,archaeological_site=fortification
archaeological_site,megalith,archaeological_site=megalith
archaeological_site,tumulus,archaeological_site=tumulus
area:highway,cycleway,area:highway=cycleway
area:highway,emergency,area:highway=emergency
area:highway,footway,area:highway=footway
area:highway,primary,area:highway=primary
area:highway,residential,area:highway=residential
area:highway,secondary,area:highway=secondary
area:highway,service,area:highway=service
area:highway,tertiary,area:highway=tertiary
area:highway,traffic_island,area:highway=traffic_island
area,no,area=no
armrest,no,armrest=no
artwork_type,installation,artwork_type=installation
artwork_type,mural,artwork_type=mural
artwork_type,sculpture,artwork_type=sculpture
artwork_type,statue,artwork_type=statue
at_bev:addr_date,2016-10-02,at_bev:addr_date=2016-10-02
athletics,long_jump,athletics=long_jump
attraction,animal,attraction=animal
attraction,water_slide,attraction=water_slide
attribution,"2001 Her Majesty the Queen in Right of Manitoba, as represented by the Minister of Conservation. All rights reserved.","attribution=2001 Her Majesty the Queen in Right of Manitoba, as represented by the Minister of Conservation. All rights reserved."
attribution,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,attribution=«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»
automated,no,automated=no
avalanche_protection,snow_bridge,avalanche_protection=snow_bridge
axle_load,22.5,axle_load=22.5
backrest,no,backrest=no
backup_generator,no,backup_generator=no
bak:fac_type1,RESIDENTIAL,bak:fac_type1=RESIDENTIAL
bak:fac_type2,RESIDENCE,bak:fac_type2=RESIDENCE
barn,horreo,barn=hórreo
barn,hórreo,barn=horreo
barrier,block,barrier=block
barrier,bollard,barrier=bollard
barrier,cattle_grid,barrier=cattle_grid
barrier,chain,barrier=chain
barrier,city_wall,barrier=city_wall
barrier,cycle_barrier,barrier=cycle_barrier
barrier,ditch,barrier=ditch
barrier,entrance,barrier=entrance
barrier,fence,barrier=fence
barrier,gate,barrier=gate
barrier,guard_rail,barrier=guard_rail
barrier,handrail,barrier=handrail
barrier,hedge,barrier=hedge
barrier,height_restrictor,barrier=height_restrictor
barrier,jersey_barrier,barrier=jersey_barrier
barrier,kerb,barrier=kerb
barrier,kissing_gate,barrier=kissing_gate
barrier,lift_gate,barrier=lift_gate
barrier,log,barrier=log
barrier,retaining_wall,barrier=retaining_wall
barrier,sliding_gate,barrier=sliding_gate
barrier,stile,barrier=stile
barrier,swing_gate,barrier=swing_gate
barrier,toll_booth,barrier=toll_booth
barrier,turnstile,barrier=turnstile
barrier,wall,barrier=wall
barrier,wicket_gate,barrier=wicket_gate
basin,detention,basin=detention
basin,infiltration,basin=infiltration
basin,retention,basin=retention
beauty,nails,beauty=nails
bench,no,bench=no
bicycle_parking,bollard,bicycle_parking=bollard
bicycle_parking,rack,bicycle_parking=rack
bicycle_parking,shed,bicycle_parking=shed
bicycle_parking,stands,bicycle_parking=stands
bicycle_parking,wall_loops,bicycle_parking=wall_loops
bicycle_rental,docking_station,bicycle_rental=docking_station
bicycle,customers,bicycle=customers
bicycle,designated,bicycle=designated
bicycle,destination,bicycle=destination
bicycle,dismount,bicycle=dismount
bicycle,no,bicycle=no
bicycle,permissive,bicycle=permissive
bicycle,private,bicycle=private
bicycle,use_sidepath,bicycle=use_sidepath
bin,no,bin=no
bmo:type,D,bmo:type=D
board_type,history,board_type=history
board_type,nature,board_type=nature
board_type,notice,board_type=notice
board_type,plants,board_type=plants
board_type,public_transport,board_type=public_transport
board_type,welcome_sign,board_type=welcome_sign
board_type,wildlife,board_type=wildlife
boat,no,boat=no
bollard,fixed,bollard=fixed
bollard,foldable,bollard=foldable
bollard,removable,bollard=removable
bollard,rising,bollard=rising
bonnet:colour,red,bonnet:colour=red
booth,K6,booth=K6
border_type,city,border_type=city
border_type,county,border_type=county
border_type,freguesia,border_type=freguesia
border_type,nation,border_type=nation
boundary_name:cs,Česko-německá státní hranice,boundary_name:cs=Česko-německá státní hranice
boundary,administrative,boundary=administrative
boundary,census,boundary=census
boundary,forest_compartment,boundary=forest_compartment
boundary,health,boundary=health
boundary,historic,boundary=historic
boundary,local_authority,boundary=local_authority
boundary,marker,boundary=marker
boundary,place,boundary=place
boundary,political,boundary=political
boundary,postal_code,boundary=postal_code
boundary,protected_area,boundary=protected_area
boundary,religious_administration,boundary=religious_administration
brand:en,7-Eleven,brand:en=7-Eleven
brand:en,FamilyMart,brand:en=FamilyMart
brand:ja,セブン-イレブン,brand:ja=セブン-イレブン
brand:ja,ファミリーマート,brand:ja=ファミリーマート
brand:ja,ハローサイクリング,brand:ja=ハローサイクリング
brand:wikidata,Q1032001,brand:wikidata=Q1032001
brand:wikipedia,en:7-Eleven,brand:wikipedia=en:7-Eleven
brand:wikipedia,en:McDonald's,brand:wikipedia=en:McDonald's
brand:wikipedia,en:Royal Mail,brand:wikipedia=en:Royal Mail
brand:wikipedia,ru:Пятёрочка,brand:wikipedia=ru:Пятёрочка
brand:wikipedia,ru:Ozon.ru,brand:wikipedia=ru:Ozon.ru
brand,7-Eleven,brand=7-Eleven
bridge:structure,arch,bridge:structure=arch
bridge:structure,beam,bridge:structure=beam
bridge:support,pier,bridge:support=pier
bridge,aqueduct,bridge=aqueduct
bridge,boardwalk,bridge=boardwalk
bridge,viaduct,bridge=viaduct
building:age,10_to_30,building:age=10_to_30
building:age,less_than_10,building:age=less_than_10
building:age,post_2000,building:age=post_2000
building:age,pre_2000,building:age=pre_2000
building:category_of_the_house,single_house,building:category_of_the_house=single_house
building:cladding,brick,building:cladding=brick
building:colour,#cccccc,building:colour=#cccccc
building:colour,#eecfaf,building:colour=#eecfaf
building:colour,#FFFFFF,building:colour=#FFFFFF
building:colour,#ffffff,building:colour=#ffffff
building:colour,beige,building:colour=beige
building:colour,black,building:colour=black
building:colour,brown,building:colour=brown
building:colour,gray,building:colour=gray
building:colour,green,building:colour=green
building:colour,grey,building:colour=grey
building:colour,lightgrey,building:colour=lightgrey
building:colour,orange,building:colour=orange
building:colour,red,building:colour=red
building:colour,white,building:colour=white
building:colour,yellow,building:colour=yellow
building:condition,average,building:condition=average
building:condition,good,building:condition=good
building:condition,poor,building:condition=poor
building:fireproof,no,building:fireproof=no
building:flats,0,building:flats=0
building:floor_area,500 - 750,building:floor_area=500 - 750
building:floor_area,less_than_500,building:floor_area=less_than_500
building:floor,ceramics,building:floor=ceramics
building:foundation_height,1,building:foundation_height=1
building:foundation_height,1 to 1.5,building:foundation_height=1 to 1.5
building:foundation_height,1_to_1.5,building:foundation_height=1_to_1.5
building:foundation_height,less_than_1,building:foundation_height=less_than_1
building:levels:underground,0,building:levels:underground=0
building:levels:underground,1,building:levels:underground=1
building:levels:underground,2,building:levels:underground=2
building:levels:underground,3,building:levels:underground=3
building:levels,0,building:levels=0
building:levels,1,building:levels=1
building:material,block,building:material=block
building:material,brick,building:material=brick
building:material,cement_block,building:material=cement_block
building:material,concrete,building:material=concrete
building:material,concrete masonry unit,building:material=concrete masonry unit
building:material,dry_stone,building:material=dry_stone
building:material,glass,building:material=glass
building:material,hard,building:material=hard
building:material,light,building:material=light
building:material,masonry,building:material=masonry
building:material,metal,building:material=metal
building:material,metal_plates,building:material=metal_plates
building:material,mixed,building:material=mixed
building:material,mud,building:material=mud
building:material,plaster,building:material=plaster
building:material,plastered,building:material=plastered
building:material,plastic,building:material=plastic
building:material,steel,building:material=steel
building:material,stone,building:material=stone
building:material,wood,building:material=wood
building:min_level,0,building:min_level=0
building:min_level,1,building:min_level=1
building:min_level,2,building:min_level=2
building:ownership,owner,building:ownership=owner
building:part,apartments,building:part=apartments
building:part,commercial,building:part=commercial
building:part,house,building:part=house
building:part,residential,building:part=residential
building:part,retail,building:part=retail
building:part,roof,building:part=roof
building:place,town,building:place=town
building:place,village,building:place=village
building:roof,concrete,building:roof=concrete
building:roof,flat,building:roof=flat
building:roof,iron_sheet,building:roof=iron_sheet
building:roof,metal,building:roof=metal
building:roof,tile,building:roof=tile
building:roof,tiles,building:roof=tiles
building:roof,tin,building:roof=tin
building:ruian:type,1,building:ruian:type=1
building:state_of_the_house,permanent,building:state_of_the_house=permanent
building:structure,confined_masonry,building:structure=confined_masonry
building:structure,plastered,building:structure=plastered
building:structure,reinforced_masonry,building:structure=reinforced_masonry
building:type:pl,Przyziemie budynku nieognioodpornego,building:type:pl=Przyziemie budynku nieognioodpornego
building:type:pl,Przyziemie budynku ognioodpornego,building:type:pl=Przyziemie budynku ognioodpornego
building:units,1,building:units=1
building:usage:pl,Inny niemieszkalny,building:usage:pl=Inny niemieszkalny
building:usage:pl,inny niemieszkalny,building:usage:pl=inny niemieszkalny
building:usage:pl,Inny niemieszkalny lub podziemny,building:usage:pl=Inny niemieszkalny lub podziemny
building:usage:pl,Mieszkalny,building:usage:pl=Mieszkalny
building:usage:pl,mieszkalny,building:usage:pl=mieszkalny
building:usage:pl,Transportu i łączności,building:usage:pl=Transportu i łączności
building:usage:pl,transportu i łączności,building:usage:pl=transportu i łączności
building:usage:pl,Transportu lub łączności,building:usage:pl=Transportu lub łączności
building:use:pl,Inny niemieszkalny,building:use:pl=Inny niemieszkalny
building:use:pl,mieszkalne,building:use:pl=mieszkalne
building:use:pl,Mieszkalny,building:use:pl=Mieszkalny
building:use:pl,"produkcyjne, usługowe i gospodarcze dla rolnictwa","building:use:pl=produkcyjne, usługowe i gospodarcze dla rolnictwa"
building:use:pl,"Produkcyjny, usługowy lub gospodarczy dla rolnictwa","building:use:pl=Produkcyjny, usługowy lub gospodarczy dla rolnictwa"
building:use:pl,Transportu i łączności,building:use:pl=Transportu i łączności
building:use,commercial,building:use=commercial
building:use,residential,building:use=residential
building:use,residential;industrial,building:use=residential;industrial
building:walls,brick,building:walls=brick
building,agricultural,building=agricultural
building,allotment_house,building=allotment_house
building,apartments,building=apartments
building,barn,building=barn
building,boathouse,building=boathouse
building,bungalow,building=bungalow
building,bunker,building=bunker
building,cabin,building=cabin
building,carport,building=carport
building,chapel,building=chapel
building,church,building=church
building,civic,building=civic
building,collapsed,building=collapsed
building,college,building=college
building,commercial,building=commercial
building,commercial;residential,building=commercial;residential
building,construction,building=construction
building,container,building=container
building,cowshed,building=cowshed
building,detached,building=detached
building,digester,building=digester
building,dormitory,building=dormitory
building,farm,building=farm
building,farm_auxiliary,building=farm_auxiliary
building,fire_station,building=fire_station
building,garage,building=garage
building,garages,building=garages
building,ger,building=ger
building,government,building=government
building,grandstand,building=grandstand
building,greenhouse,building=greenhouse
building,hangar,building=hangar
building,hospital,building=hospital
building,hotel,building=hotel
building,house,building=house
building,houseboat,building=houseboat
building,hut,building=hut
building,industrial,building=industrial
building,kindergarten,building=kindergarten
building,kiosk,building=kiosk
building,manufacture,building=manufacture
building,mosque,building=mosque
building,no,building=no
building,office,building=office
building,outbuilding,building=outbuilding
building,parking,building=parking
building,pavilion,building=pavilion
building,public,building=public
building,residential,building=residential
building,retail,building=retail
building,roof,building=roof
building,ruins,building=ruins
building,school,building=school
building,semidetached_house,building=semidetached_house
building,service,building=service
building,shed,building=shed
building,silo,building=silo
building,slurry_tank,building=slurry_tank
building,sports_centre,building=sports_centre
building,sports_hall,building=sports_hall
building,stable,building=stable
building,stadium,building=stadium
building,static_caravan,building=static_caravan
building,stilt_house,building=stilt_house
building,storage_tank,building=storage_tank
building,sty,building=sty
building,supermarket,building=supermarket
building,temple,building=temple
building,tent,building=tent
building,terrace,building=terrace
building,toilets,building=toilets
building,train_station,building=train_station
building,transformer_tower,building=transformer_tower
building,transportation,building=transportation
building,trullo,building=trullo
building,university,building=university
building,warehouse,building=warehouse
bunker_type,munitions,bunker_type=munitions
bunker_type,pillbox,bunker_type=pillbox
bus_bay,right,bus_bay=right
bus,designated,bus=designated
bus,no,bus=no
busway:right,lane,busway:right=lane
button_operated,no,button_operated=no
cables,1,cables=1
cables,2,cables=2
cables,3,cables=3
cables,4,cables=4
cables,6,cables=6
cai_scale,E,cai_scale=E
camera:mount,ceiling,camera:mount=ceiling
camera:mount,pole,camera:mount=pole
camera:mount,street_lamp,camera:mount=street_lamp
camera:mount,wall,camera:mount=wall
camera:type,dome,camera:type=dome
camera:type,fixed,camera:type=fixed
camera:type,panning,camera:type=panning
canal,qanat,canal=qanat
canoe,no,canoe=no
canvec:CODE,1760011,canvec:CODE=1760011
capacity:disabled,0,capacity:disabled=0
capacity:disabled,1,capacity:disabled=1
capacity:disabled,2,capacity:disabled=2
capacity:disabled,3,capacity:disabled=3
capacity:disabled,no,capacity:disabled=no
capacity:parent,no,capacity:parent=no
capacity:persons,<50,capacity:persons=<50
capacity:persons,100-250,capacity:persons=100-250
capacity:persons,50-100,capacity:persons=50-100
capacity:women,no,capacity:women=no
capacity,1,capacity=1
capital,6,capital=6
capital,8,capital=8
caravans,no,caravans=no
carriage,no,carriage=no
cash_in,no,cash_in=no
category,berkad,category=berkad
category,haffir,category=haffir
cemetery,grave,cemetery=grave
cemetery,sector,cemetery=sector
ceremonial_gate,torii,ceremonial_gate=torii
change:backward,no,change:backward=no
change:forward,no,change:forward=no
change:lanes:backward,no,change:lanes:backward=no
change:lanes:backward,not_left|yes,change:lanes:backward=not_left|yes
change:lanes:forward,no,change:lanes:forward=no
change:lanes:forward,not_left|yes,change:lanes:forward=not_left|yes
change:lanes,no|no,change:lanes=no|no
changing_table,no,changing_table=no
check_date,2023-04-26,check_date=2023-04-26
check_date,2024-11-6,check_date=2024-11-6
check_date,2024-11-7,check_date=2024-11-7
check_date,2025-04-24,check_date=2025-04-24
checkpoint,hiking,checkpoint=hiking
circuits,1,circuits=1
circuits,2,circuits=2
circumference,0.15,circumference=0.15
circumference,0.16,circumference=0.16
circumference,0.25,circumference=0.25
circumference,0.3,circumference=0.3
circumference,0.45,circumference=0.45
circumference,0.6,circumference=0.6
circumference,0.75,circumference=0.75
class:bicycle:mtb,1,class:bicycle:mtb=1
class:bicycle,-1,class:bicycle=-1
class:bicycle,1,class:bicycle=1
class:bicycle,2,class:bicycle=2
CLC:code,112,CLC:code=112
CLC:explanation,See http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,CLC:explanation=See http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.
CLC:year,2006,CLC:year=2006
climbing,route_bottom,climbing=route_bottom
clothes,women,clothes=women
club,sport,club=sport
collection_times,Mo-Fr 08:00,collection_times=Mo-Fr 08:00
collection_times,Mo-Fr 09:00; Sa 07:00,collection_times=Mo-Fr 09:00; Sa 07:00
collection_times,Mo-Sa 09:00,collection_times=Mo-Sa 09:00
colour:arrow,black,colour:arrow=black
colour:arrow,green,colour:arrow=green
colour:arrow,white,colour:arrow=white
colour:back,blue,colour:back=blue
colour:back,green,colour:back=green
colour:back,white,colour:back=white
colour:back,yellow,colour:back=yellow
colour:text,black,colour:text=black
colour:text,green,colour:text=green
colour:text,white,colour:text=white
colour,#000000,colour=#000000
colour,#ff0000,colour=#ff0000
colour,black,colour=black
colour,blue,colour=blue
colour,brown,colour=brown
colour,gray,colour=gray
colour,green,colour=green
colour,grey,colour=grey
colour,orange,colour=orange
colour,red,colour=red
colour,silver,colour=silver
colour,white,colour=white
colour,yellow,colour=yellow
comment,convertido a OSM usando http://GaleNUx.com,comment=convertido a OSM usando http://GaleNUx.com
communication,line,communication=line
community_centre,village_hall,community_centre=village_hall
condition,deficient,condition=deficient
condition,fair,condition=fair
condition,good,condition=good
constituency,Strategic Routes,constituency=Strategic Routes
construction:electrified,contact_line,construction:electrified=contact_line
construction:railway:etcs,2,construction:railway:etcs=2
construction:railway,rail,construction:railway=rail
construction:voltage,25000,construction:voltage=25000
construction,apartments,construction=apartments
construction,building,construction=building
construction,footway,construction=footway
construction,house,construction=house
construction,minor,construction=minor
construction,motorway,construction=motorway
construction,motorway_link,construction=motorway_link
construction,primary,construction=primary
construction,rail,construction=rail
construction,residential,construction=residential
construction,secondary,construction=secondary
construction,service,construction=service
construction,shed,construction=shed
construction,tertiary,construction=tertiary
construction,trunk,construction=trunk
construction,unclassified,construction=unclassified
contact:facebook,https://www.facebook.com/ozon.ru,contact:facebook=https://www.facebook.com/ozon.ru
contact:instagram,https://www.instagram.com/ozonru,contact:instagram=https://www.instagram.com/ozonru
contact:phone,+7 495 2321000,contact:phone=+7 495 2321000
contact:phone,+7 800 5555505,contact:phone=+7 800 5555505
contact:phone,+7 800 5555550,contact:phone=+7 800 5555550
contact:twitter,https://twitter.com/Ozon_ru,contact:twitter=https://twitter.com/Ozon_ru
contact:vk,https://vk.com/ozon,contact:vk=https://vk.com/ozon
contact:website,https://5ka.ru,contact:website=https://5ka.ru
contact:website,https://www.hellocycling.jp,contact:website=https://www.hellocycling.jp
contact:website,https://www.ozon.ru,contact:website=https://www.ozon.ru
contact:website,https://www.ozon.ru/,contact:website=https://www.ozon.ru/
content,fuel,content=fuel
content,oil,content=oil
content,silage,content=silage
content,slurry,content=slurry
content,water,content=water
conveying,forward,conveying=forward
country,US,country=US
couplings:type,Storz,couplings:type=Storz
couplings,1,couplings=1
couplings,2,couplings=2
couplings,3,couplings=3
covered,booth,covered=booth
covered,no,covered=no
craft,brewery,craft=brewery
craft,carpenter,craft=carpenter
craft,electrician,craft=electrician
craft,electronics_repair,craft=electronics_repair
craft,grinding_mill,craft=grinding_mill
craft,hvac,craft=hvac
craft,metal_construction,craft=metal_construction
craft,photographer,craft=photographer
craft,plumber,craft=plumber
craft,tailor,craft=tailor
craft,winery,craft=winery
created_by,almien_coastlines,created_by=almien_coastlines
created_by,ArcGIS Exporter,created_by=ArcGIS Exporter
created_by,dmgroom_coastlines,created_by=dmgroom_coastlines
created_by,geobaseNHN2osm,created_by=geobaseNHN2osm
created_by,GPSBabel-1.3.6,created_by=GPSBabel-1.3.6
created_by,JOSM,created_by=JOSM
created_by,Merkaartor 0.11,created_by=Merkaartor 0.11
created_by,Merkaartor 0.12,created_by=Merkaartor 0.12
created_by,Merkaartor 0.13,created_by=Merkaartor 0.13
created_by,polyshp2osm,created_by=polyshp2osm
created_by,Potlatch 0.10b,created_by=Potlatch 0.10b
created_by,Potlatch 0.10f,created_by=Potlatch 0.10f
created_by,Potlatch 0.9c,created_by=Potlatch 0.9c
created_by,shp2osm,created_by=shp2osm
created_by,shpupload,created_by=shpupload
crop,cereal,crop=cereal
crop,corn,crop=corn
crop,grape,crop=grape
crop,grass,crop=grass
crop,hop,crop=hop
crop,market_gardening,crop=market_gardening
crop,rice,crop=rice
crop,sugarcane,crop=sugarcane
crop,tea,crop=tea
crossing_ref,pelican,crossing_ref=pelican
crossing_ref,toucan,crossing_ref=toucan
